Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,learning_rate,max_depth,min_samples_split,n_estimators,mse,r2,test_mse,test_r2,Model,Data,Original Run ID,Train Data
2025-03-20 21:29:10,1.6s,3e98696109dc4f918d795aea7529f937,monumental-rook-43,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.1,3,,100,0.0003144401226041030,0.9415017996016280,,,gradient-boosting,,,all-features
2025-03-20 21:31:28,1.7s,26d71b361dfa4b49baf06aef937baae8,carefree-seal-284,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,5,,100,0.0003157799730105620,0.9412525348547130,,,gradient-boosting,,,all-features
2025-03-20 21:28:55,1.7s,aa5c52892bcd454ab5e93df53a3c265a,learned-skink-839,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,5,,100,0.0003157799730105620,0.9412525348547130,,,gradient-boosting,,,all-features
2025-03-20 21:31:36,2.6s,a8d2331eed4f4452a9dbc969cea928dd,blushing-bug-522,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,7,,200,0.00031952938911909800,0.9405549963437960,,,gradient-boosting,,,all-features
2025-03-20 21:29:03,2.6s,5e9cbd3667bc4c5a860b78b77c93a844,respected-rat-558,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,7,,200,0.00031952938911909800,0.9405549963437960,,,gradient-boosting,,,all-features
2025-03-20 21:31:42,1.7s,01896943679c4b32845bc722d7bbf2f0,indecisive-fish-919,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.1,7,,50,0.00032791554910266000,0.9389948415415760,,,gradient-boosting,,,all-features
2025-03-20 21:29:08,1.5s,d0f59823afc14d75b766a35514971d8b,merciful-pig-56,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.1,7,,50,0.00032791554910266000,0.9389948415415760,,,gradient-boosting,,,all-features
2025-03-20 21:31:30,1.8s,c14743aff52747a99b5e557c4c2aedcf,capricious-grub-92,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,7,,100,0.0003444304405610210,0.9359224237404140,,,gradient-boosting,,,all-features
2025-03-20 21:28:57,2.0s,f5d1e4120c884a519197273cbe43c43d,bald-gnat-996,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,7,,100,0.0003444304405610210,0.9359224237404140,,,gradient-boosting,,,all-features
2025-03-20 21:29:34,1.6s,fcddb07067db4156877ba7d698eb0666,bright-lynx-607,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,,,,0.00043734387052384000,0.9186368801505830,,,linear-regression,,,selected-features
2025-03-20 21:31:25,1.5s,2f8572d0a2f1414ebc4fbef8f81d5d87,gregarious-dove-281,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,7,,50,0.000498820899156752,0.9071997406688870,,,gradient-boosting,,,all-features
2025-03-20 21:28:52,1.7s,1d91e651ea7e4660adfbecccc41e07df,dapper-eel-305,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,7,,50,0.000498820899156752,0.9071997406688870,,,gradient-boosting,,,all-features
2025-03-20 21:30:23,2.6s,288ab305d3ee49c3a75afb905e73a3ce,wise-bass-243,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,2,200,0.000520643772259132,0.9031398300142330,,,random-forest,,,all-features
2025-03-20 21:30:43,2.5s,634370b9f2a142d5bfa82f7a93b9a220,stylish-smelt-81,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,2,200,0.0005236168997209490,0.9025867116506130,,,random-forest,,,all-features
