Games,At-bat,Runs,Hits,Double,Triple,HR,RBI,Walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Plus Slugging
1632.0,5843.0,645.0,1604.0,279.0,25.0,139.0,802.0,465.0,751.0,32.0,42.0,0.275,0.729
1496.0,5053.0,778.0,1422.0,220.0,52.0,54.0,402.0,471.0,709.0,254.0,92.0,0.281,0.721
1235.0,4846.0,749.0,1376.0,241.0,47.0,104.0,512.0,399.0,737.0,343.0,71.0,0.284,0.759
1150.0,3572.0,398.0,900.0,150.0,22.0,26.0,344.0,319.0,311.0,74.0,36.0,0.252,0.644
1587.0,5102.0,645.0,1355.0,356.0,12.0,151.0,675.0,638.0,1108.0,19.0,7.0,0.266,0.776
1749.0,6332.0,1099.0,1848.0,320.0,79.0,351.0,1119.0,894.0,1556.0,133.0,52.0,0.292,0.912
957.0,2891.0,333.0,709.0,142.0,14.0,75.0,368.0,237.0,445.0,20.0,23.0,0.245,0.689
1358.0,4374.0,613.0,1193.0,267.0,18.0,136.0,536.0,261.0,914.0,67.0,30.0,0.273,0.765
1816.0,6253.0,721.0,1613.0,245.0,55.0,43.0,656.0,568.0,530.0,36.0,29.111971403812824,0.258,0.66
1906.0,6740.0,1037.0,2064.0,376.0,96.0,105.0,1023.0,817.0,325.0,59.0,10.0,0.306,0.82
1095.0,3283.0,353.0,773.0,130.0,22.0,91.0,352.0,246.0,678.0,45.0,25.0,0.235,0.662
2014.0,7356.0,1124.0,2138.0,435.0,110.0,89.0,679.0,821.0,457.0,174.0,81.0,0.291,0.78
1162.0,3824.0,556.0,973.0,173.0,34.0,72.0,354.0,368.0,921.0,187.0,55.0,0.254,0.697
1377.0,5033.0,821.0,1432.0,302.0,40.0,234.0,785.0,448.0,1240.0,122.0,33.0,0.285,0.843
1587.0,5815.0,869.0,1494.0,273.0,66.0,169.0,737.0,616.0,1135.0,280.0,93.0,0.257,0.746
1472.0,5220.0,740.0,1434.0,288.0,65.0,99.0,573.0,510.0,838.0,66.0,62.0,0.275,0.761
871.0,2615.0,321.0,647.0,119.0,7.0,91.0,333.0,318.0,438.0,45.0,38.0,0.247,0.733
1206.0,3907.0,389.0,954.0,147.0,6.0,167.0,608.0,440.0,636.0,1.0,0.0,0.244,0.735
955.0,3203.0,412.0,835.0,115.0,44.0,103.0,415.0,281.0,382.0,36.0,16.0,0.261,0.741
1270.0,4631.0,643.0,1329.0,203.0,85.0,31.0,494.0,329.0,186.0,39.0,45.0,0.287,0.724
