feature,importance
HR,0.4381840435058854
AVG,0.32107937141777504
Walk,0.08963691082563545
RBI,0.07629596270852661
At-bat,0.036426736834137
Games,0.027354514114986787
Caught stealing,0.003341076928588361
Triple,0.0029107367377368687
Runs,0.0018721934304607966
Double,0.0011215763209141108
Hits,0.0008071227810539276
Strikeouts,0.0006777160043235711
stolen base ,0.0002920383899761426
